iter	Passed	Remaining
0	0	729
1	1	690
2	1	640
3	2	612
4	3	597
5	3	585
6	4	570
7	4	560
8	5	551
9	5	543
10	5	537
11	6	532
12	7	531
13	7	531
14	8	528
15	8	524
16	9	521
17	9	518
18	9	516
19	10	514
20	10	512
21	11	512
22	12	510
23	12	508
24	13	523
25	14	530
26	14	530
27	15	534
28	15	533
29	16	531
30	16	529
31	17	527
32	17	526
33	18	524
34	18	522
35	19	525
36	20	523
37	20	522
38	21	521
39	21	519
40	22	518
41	22	517
42	23	516
43	23	515
44	24	514
45	24	513
46	25	513
47	25	512
48	26	512
49	26	511
50	27	513
51	28	514
52	28	514
53	29	514
54	29	513
55	30	511
56	30	510
57	31	509
58	31	509
59	32	508
60	32	507
61	33	506
62	33	504
63	34	503
64	34	502
65	35	501
66	35	500
67	36	499
68	36	499
69	37	499
70	38	499
71	38	498
72	39	497
73	39	496
74	40	495
75	40	494
76	41	493
77	41	492
78	42	492
79	42	492
80	43	491
81	43	491
82	44	488
83	44	487
84	45	487
85	45	486
86	46	485
87	46	484
88	47	484
89	47	483
90	48	482
91	48	481
92	49	480
93	49	481
94	50	480
95	50	480
96	51	479
97	51	478
98	52	477
99	53	477
100	53	476
101	54	475
102	54	475
103	55	474
104	55	474
105	56	474
106	56	473
107	57	472
108	57	472
109	58	471
110	58	470
111	59	469
112	59	469
113	60	468
114	60	467
115	61	466
116	61	465
117	62	465
118	62	464
119	63	464
120	63	463
121	64	462
122	64	461
123	65	461
124	65	460
125	66	459
126	66	458
127	67	457
128	67	457
129	68	456
130	68	456
131	69	455
132	69	455
133	70	454
134	70	454
135	71	453
136	71	453
137	72	452
138	73	453
139	73	452
140	74	452
141	74	451
142	75	451
143	75	450
144	76	450
145	76	449
146	77	448
147	77	448
148	78	447
149	78	446
150	79	446
151	79	445
152	80	444
153	80	444
154	81	444
155	81	443
156	82	442
157	82	442
158	83	441
159	84	441
160	84	440
161	85	439
162	85	439
163	86	438
164	86	438
165	87	437
166	87	437
167	88	436
168	88	436
169	89	435
170	89	434
171	90	434
172	90	433
173	91	433
174	91	432
175	92	432
176	92	431
177	93	431
178	93	430
179	94	430
180	94	429
181	95	428
182	95	428
183	96	427
184	96	426
185	97	426
186	97	425
187	98	425
188	99	424
189	99	424
190	100	424
191	100	423
192	101	423
193	101	422
194	102	422
195	102	421
196	103	420
197	103	420
198	104	419
199	104	418
200	105	418
201	105	418
202	106	417
203	106	417
204	107	416
205	107	415
206	108	415
207	108	414
208	109	414
209	109	413
210	110	413
211	110	412
212	111	412
213	112	412
214	112	411
215	113	411
216	113	410
217	114	409
218	114	409
219	115	408
220	115	407
221	116	407
222	116	406
223	117	406
224	117	405
225	118	405
226	118	404
227	119	404
228	119	403
229	120	403
230	120	402
231	121	401
232	121	401
233	122	400
234	122	399
235	123	399
236	123	399
237	124	398
238	124	397
239	125	397
240	126	396
241	126	396
242	126	395
243	127	395
244	127	394
245	128	393
246	128	393
247	129	392
248	130	392
249	130	391
250	131	391
251	131	390
252	132	390
253	132	389
254	133	389
255	133	388
256	134	387
257	134	387
258	135	386
259	135	386
260	136	385
261	136	385
262	137	384
263	137	384
264	138	383
265	138	383
266	139	383
267	140	382
268	140	382
269	141	381
270	141	380
271	142	380
272	142	380
273	143	379
274	143	378
275	144	378
276	144	377
277	145	377
278	145	376
279	146	376
280	146	375
281	147	375
282	147	374
283	148	374
284	148	373
285	149	373
286	149	372
287	150	371
288	150	371
289	151	370
290	151	370
291	152	369
292	152	369
293	153	368
294	154	368
295	154	367
296	155	367
297	155	366
298	156	366
299	156	365
300	157	365
301	157	364
302	158	364
303	158	363
304	159	362
305	159	362
306	160	361
307	160	361
308	161	361
309	162	360
310	162	360
311	162	359
312	163	358
313	163	358
314	164	357
315	164	357
316	165	356
317	166	356
318	166	355
319	167	356
320	168	356
321	169	356
322	169	355
323	170	355
324	170	354
325	171	354
326	171	353
327	172	353
328	173	353
329	173	352
330	174	352
331	174	351
332	175	351
333	175	350
334	176	350
335	176	349
336	177	348
337	177	348
338	178	347
339	178	347
340	179	346
341	180	346
342	180	345
343	181	345
344	181	344
345	182	344
346	182	343
347	183	343
348	183	342
349	184	342
350	184	341
351	185	340
352	185	340
353	186	339
354	186	339
355	187	338
356	187	338
357	188	337
358	188	337
359	189	336
360	189	336
361	190	335
362	190	334
363	191	334
364	191	333
365	192	333
366	192	332
367	193	332
368	194	331
369	194	331
370	195	330
371	195	330
372	196	329
373	196	329
374	197	329
375	198	328
376	198	328
377	199	327
378	199	327
379	200	326
380	200	326
381	201	325
382	201	325
383	202	324
384	202	324
385	203	323
386	203	322
387	204	322
388	204	321
389	205	321
390	206	320
391	206	320
392	207	319
393	207	319
394	208	318
395	208	318
396	209	317
397	209	317
398	210	316
399	210	316
400	211	315
401	211	315
402	212	314
403	212	313
404	213	313
405	213	312
406	214	312
407	214	311
408	215	311
409	215	310
410	216	310
411	216	309
412	217	309
413	218	308
414	218	308
415	219	307
416	219	306
417	220	306
418	220	305
419	221	305
420	221	304
421	222	304
422	222	303
423	223	303
424	223	302
425	224	302
426	224	301
427	225	301
428	225	300
429	226	300
430	226	299
431	227	298
432	227	298
433	228	297
434	228	297
435	229	296
436	229	296
437	230	295
438	230	295
439	231	294
440	231	294
441	232	293
442	232	292
443	233	292
444	233	291
445	234	291
446	235	290
447	235	290
448	236	289
449	236	289
450	237	288
451	237	288
452	238	287
453	238	287
454	239	286
455	239	286
456	240	285
457	241	285
458	241	284
459	242	284
460	242	283
461	243	283
462	243	282
463	244	282
464	244	281
465	245	280
466	245	280
467	246	279
468	246	279
469	247	278
470	247	278
471	248	277
472	248	277
473	249	276
474	249	276
475	250	275
476	251	275
477	251	274
478	252	274
479	252	273
480	253	273
481	253	272
482	254	272
483	254	271
484	255	271
485	255	270
486	256	269
487	256	269
488	257	268
489	257	268
490	258	267
491	258	267
492	259	266
